"","ID","Date","LongDate","Timepoint","pHMeasured","pHNBS","pHSW","pHTotal","shelf","tank","pCO2"
"45",17093,"6/13/2017",20170613,"Exposure 3",7.731284585,7.645647422623,7.51514939709887,7.52550358925885,3,3,900
"46",17122,"6/13/2017",20170613,"Exposure 3",7.857963804,7.772326641623,7.64182861609887,7.65218280825885,4,1,2800
"47",17181,"6/13/2017",20170613,"Exposure 3",7.506716878,7.421079715623,7.29058169009887,7.30093588225885,4,2,2800
"48",17072,"6/13/2017",20170613,"Exposure 3",7.616121658,7.530484495623,7.39998647009887,7.41034066225885,4,3,2800
"49",17031,"6/13/2017",20170613,"Exposure 3",7.201535122,7.115897959623,6.98539993409887,6.99575412625885,5,1,900
"50",17135,"6/13/2017",20170613,"Exposure 3",7.316698049,7.231060886623,7.10056286109887,7.11091705325885,5,2,900
"51",17173,"6/13/2017",20170613,"Exposure 3",7.564298341,7.478661178623,7.34816315309887,7.35851734525885,5,3,900
"52",17142,"6/13/2017",20170613,"Exposure 3",7.811898634,7.726261471623,7.59576344609887,7.60611763825885,6,1,2800
"53",17090,"6/13/2017",20170613,"Exposure 3",7.420344683,7.334707520623,7.20420949509887,7.21456368725885,6,2,2800
"54",17108,"6/13/2017",20170613,"Exposure 3",7.633396097,7.547758934623,7.41726090909887,7.42761510125885,6,3,2800
"55",17008,"6/26/2017",20170626,"Exposure 4",6.672413793,6.586776630623,6.45627860509887,6.46663279725885,2,2,400
"56",17095,"6/26/2017",20170626,"Exposure 4",7.632183908,7.546546745623,7.41604872009887,7.42640291225885,1,1,400
"57",17028,"6/26/2017",20170626,"Exposure 4",7.66091954,7.575282377623,7.44478435209887,7.45513854425885,1,3,400
"58",17157,"6/26/2017",20170626,"Exposure 4",7.781609195,7.695972032623,7.56547400709887,7.57582819925885,2,3,400
"59",17163,"6/26/2017",20170626,"Exposure 4",7.396551724,7.310914561623,7.18041653609887,7.19077072825885,2,1,400
"60",17182,"6/26/2017",20170626,"Exposure 4",7.402298851,7.316661688623,7.18616366309887,7.19651785525885,1,2,400
"61",17075,"6/26/2017",20170626,"Exposure 4",7.620689655,7.535052492623,7.40455446709887,7.41490865925885,3,1,900
"62",17116,"6/26/2017",20170626,"Exposure 4",7.275862069,7.190224906623,7.05972688109887,7.07008107325885,3,2,900
"63",17206,"7/24/2017",20170724,"Exposure 5",7.051823417,6.966186254623,6.83244226672408,6.84295109224462,3,2,900
"64",17042,"7/24/2017",20170724,"Exposure 5",7.552783109,7.467145946623,7.33340195872408,7.34391078424462,5,1,900
"65",17179,"6/26/2017",20170626,"Exposure 4",7.310344828,7.224707665623,7.09420964009887,7.10456383225885,3,3,900
"66",17053,"6/26/2017",20170626,"Exposure 4",7.517241379,7.431604216623,7.30110619109887,7.31146038325885,4,1,2800
"67",17111,"7/24/2017",20170724,"Exposure 5",7.598848369,7.513211206623,7.37946721872408,7.38997604424462,2,1,400
"68",17110,"6/26/2017",20170626,"Exposure 4",7.333333333,7.247696170623,7.11719814509887,7.12755233725885,4,2,2800
"69",17133,"7/24/2017",20170724,"Exposure 5",7.161228407,7.075591244623,6.94184725672408,6.95235608224462,4,1,2800
"70",17001,"7/24/2017",20170724,"Exposure 5",7.230326296,7.144689133623,7.01094514572408,7.02145397124462,1,3,400
"71",17022,"6/26/2017",20170626,"Exposure 4",7.275862069,7.190224906623,7.05972688109887,7.07008107325885,4,3,2800
"72",17030,"6/26/2017",20170626,"Exposure 4",7.448275862,7.362638699623,7.23214067409887,7.24249486625885,5,1,900
"73",17210,"7/24/2017",20170724,"Exposure 5",6.815738964,6.730101801623,6.59635781372408,6.60686663924462,6,2,2800
"74",17129,"7/24/2017",20170724,"Exposure 5",7.414587332,7.328950169623,7.19520618172408,7.20571500724462,4,3,2800
"75",17151,"6/26/2017",20170626,"Exposure 4",7.528735632,7.443098469623,7.31260044409887,7.32295463625885,5,2,900
"76",17048,"6/26/2017",20170626,"Exposure 4",7.396551724,7.310914561623,7.18041653609887,7.19077072825885,5,3,900
"77",17113,"7/24/2017",20170724,"Exposure 5",7.800383877,7.714746714623,7.58100272672408,7.59151155224462,1,1,400
"78",17166,"7/24/2017",20170724,"Exposure 5",7.644913628,7.559276465623,7.42553247772408,7.43604130324462,2,3,400
"79",17190,"6/26/2017",20170626,"Exposure 4",7.25862069,7.172983527623,7.04248550209887,7.05283969425885,6,1,2800
"80",17106,"7/24/2017",20170724,"Exposure 5",7.644913628,7.559276465623,7.42553247772408,7.43604130324462,5,2,900
"81",17114,"6/26/2017",20170626,"Exposure 4",7.5,7.414362837623,7.28386481209887,7.29421900425885,6,2,2800
"82",17120,"7/24/2017",20170724,"Exposure 5",7.731285988,7.645648825623,7.51190483772408,7.52241366324462,3,1,900
"83",17222,"6/26/2017",20170626,"Exposure 4",7.063218391,6.977581228623,6.84708320309887,6.85743739525885,6,3,2800
