"","ID","Date","Acc_Exp","shelf","tank","tankID","pCO2.x","length","width","pop","Timepoint","pCO2.y","pHMeasured","pHNBS","pHSW","pHTotal","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W","delta_ph_NBS","delta_ph_total"
"20",17032,2017-06-06,"Exposure",3,2,8,900,4.055,2.135,"Ipswich",2,900,7.397312097,7.311674934623,7.18117690909887,7.19153110125885,17.4,30.52,2014.61,2083.95,7.67,992.5,1.76,1.13,17.45,30.34,7.7885,7.6585,7.6665,7.5005,-0.476825065377,-0.47496889874115
"21",17036,2017-06-06,"Exposure",4,3,12,2800,2.36,2.144,"Rowley2",2,2800,7.915545268,7.829908105623,7.69941008009887,7.70976427225885,18.8,30.52,2198.41,2142.05,7.24,2928.7,0.75,0.48,17.95,30.323,7.389,7.259,7.2675,7.101,0.440908105623,0.44226427225885
"22",17040,2017-06-06,"Exposure",4,2,11,2800,4.415,2.609,"Ipswich",2,2800,6.832686217,6.747049054623,6.61655102909887,6.62690522125885,18.2,30.52,2214.57,2131.86,7.17,3427.4,0.63,0.4,17.6,30.34,7.3865,7.256,7.265,7.0985,-0.639450945377,-0.63809477874115
"23",17045,2017-06-06,"Exposure",6,2,17,2800,4.087,2.017,"Rowley",2,2800,6.959609538,6.873972375623,6.74347435009887,6.75382854225885,17.6,30.52,2170.23,2115.39,7.25,2766.5,0.73,0.47,17.55,30.3735,7.3785,7.248,7.2565,7.09,-0.504527624377,-0.50267145774115
"24",17050,2017-06-06,"Exposure",6,3,18,2800,4.35,2.097,"Rowley2",2,2800,7.028790732,6.943153569623,6.81265554409887,6.82300973625885,17.6,30.52,2168.47,2112.64,7.25,2784.4,0.73,0.46,17.55,30.323,7.381,7.25,7.259,7.093,-0.437846430377,-0.43599026374115
"25",17061,2017-06-06,"Exposure",1,3,3,400,3.739,2.289,"Rowley2",2,400,7.686534013,7.600896850623,7.47039882509887,7.48075301725885,18.1,30.52,1913.17,2068.18,7.91,536.6,2.93,1.87,17.6,30.323,8.0925,7.9615,7.9705,7.8045,-0.491603149377001,-0.489746982741149
"26",17065,2017-06-06,"Exposure",5,1,13,900,3.566,2.058,"Rowley",2,900,7.58157278,7.495935617623,7.36543759209887,7.37579178425885,18,30.52,2024.83,2068.73,7.57,1241.7,1.47,0.94,18,30.3735,7.8395,7.709,7.7175,7.551,-0.343564382376999,-0.341708215741149
"27",17080,2017-06-06,"Exposure",5,2,14,900,3.322,2.372,"Ipswich",2,900,7.512475024,7.426837861623,7.29633983609887,7.30669402825885,18,30.52,2007.97,2083.55,7.68,966.6,1.85,1.18,18.25,30.3735,7.8225,7.6925,7.7005,7.534,-0.395662138376999,-0.39380597174115
"28",17104,2017-06-06,"Exposure",2,3,6,400,3.947,1.813,"Rowley2",2,400,7.692303254,7.606666091623,7.47616806609887,7.48652225825885,17.9,30.52,1918.23,2068.1,7.9,550.7,2.85,1.82,17.9,30.3565,8.0955,7.9645,7.9735,7.807,-0.488833908377002,-0.48697774174115
"29",17117,2017-06-06,"Exposure",2,2,5,400,5.018,2.397,"Ipswich",2,400,6.982725561,6.897088398623,6.76659037309887,6.77694456525885,17.9,30.52,1936.97,2063.5,7.83,645.4,2.51,1.61,17.85,30.3735,8.095,7.965,7.974,7.8065,-1.197911601377,-1.19705543474115
