"","ID","Date.x","Acc_Exp","shelf","tank","tankID","pCO2","length","width","pop","Timepoint","PercentChangePerDay_DW2_DW3","PercentChangePerDayStandardized_Exposure","pCO2.y","pHMeasured","pHNBS","pHSW","pHTotal","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W","delta_ph_NBS","Date.y","Temp_Cal","Sal_Cal","CT_Cal","AT_Cal","pH_Cal","pCO2_Cal","CaSat_Cal","ArgSat_Cal"
"1",17001,2017-07-24,"Exposure",1,3,3,400,3.586,2.523,"Rowley2",50,-0.0112,0.0128,400,7.230326296,7.144689133623,7.01094514572408,7.02145397124462,17.7,30.774,1954.57,2107.98,7.9,556.46,2.918,1.866,17.9714285714286,30.8422857142857,8.12,7.98828571428571,7.99728571428571,7.827,-0.975310866377001,2017-08-22,17.5333333333333,30.5633333333333,1925.63666666667,2078.63666666667,7.91,536.233333333333,2.89333333333333,1.85
"2",17041,2017-07-24,"Exposure",6,3,18,2800,5,2.127,"Rowley2",50,-0.0233,0.023,2800,7.213051823,7.127414660623,6.99367067272408,7.00417949824462,17.5833333333333,30.88,2213.05,2148.915,7.22666666666667,2996.96666666667,0.708333333333333,0.451666666666667,18.5714285714286,30.9852857142857,7.32957142857143,7.19785714285714,7.20671428571429,7.03514285714286,-0.202156767948429,2017-08-22,17.15,30.75,2187.2625,2130.32,7.25,2785.8,0.7275,0.4625
"3",17042,2017-07-24,"Exposure",5,1,13,900,2.806,1.971,"Rowley",50,0.0043,-0.0125,900,7.552783109,7.467145946623,7.33340195872408,7.34391078424462,17.6166666666667,30.87,1921.69333333333,2101.055,7.64,1163.68333333333,1.78666666666667,1.14333333333333,18.2428571428571,30.9567142857143,7.84285714285714,7.71157142857143,7.72028571428571,7.54914285714286,-0.375711196234143,2017-08-22,17.425,30.75,1844.9075,2103.615,7.715,909.15,2.02,1.2925
"4",17052,2017-07-24,"Exposure",2,2,5,400,3.968,2.338,"Ipswich",50,-0.0299,-0.0202,400,7.443378119,7.357740956623,7.22399696872408,7.23450579424462,17.46,30.742,1952.862,2097.728,7.878,586.32,2.79,1.784,18.1142857142857,30.9662857142857,8.10442857142857,7.97271428571429,7.98171428571429,7.81014285714286,-0.746687614805572,2017-08-22,17.3333333333333,30.5633333333333,1935.8,2066.05,7.84666666666667,626.533333333333,2.56,1.63666666666667
"5",17085,2017-07-24,"Exposure",6,1,16,2800,6.1,1.844,"Rowley",50,-0.0245,0.005,2800,7.005758157,6.920120994623,6.78637700672408,6.79688583224462,17.5833333333333,30.8866666666667,2203.43333333333,2147.715,7.25,2829.08333333333,0.753333333333333,0.483333333333333,18.5714285714286,31.0091428571429,7.33128571428571,7.19971428571429,7.20842857142857,7.03657142857143,-0.411164719662715,2017-08-22,17.15,30.76,2184.095,2131.0925,7.2625,2721.275,0.755,0.485
"6",17106,2017-07-24,"Exposure",5,2,14,900,3.801,2.507,"Ipswich",50,-0.007,0.019,900,7.644913628,7.559276465623,7.42553247772408,7.43604130324462,17.6,30.808,1851.244,2116.454,7.72,893.04,2.038,1.306,18.2142857142857,30.9807142857143,7.84314285714286,7.71171428571429,7.72042857142857,7.54857142857143,-0.283866391519857,2017-08-22,17.4,30.5866666666667,1701.57,2094.36666666667,7.76,800.533333333333,2.15666666666667,1.38
"7",17111,2017-07-24,"Exposure",2,1,4,400,3.09,1.701,"Rowley",50,0.0253,0.0142,400,7.598848369,7.513211206623,7.37946721872408,7.38997604424462,17.3833333333333,30.8533333333333,1954.88666666667,2110.50666666667,7.90666666666667,543.2,2.94166666666667,1.88333333333333,18.1142857142857,30.9757142857143,8.10457142857143,7.97285714285714,7.98171428571429,7.81014285714286,-0.591360221948429,2017-08-22,17.25,30.76,1945.8,2097.73,7.9025,547.075,2.88,1.8425
"8",17113,2017-07-24,"Exposure",1,1,1,400,3.428,1.361,"Rowley",50,-1e-04,-0.0105,400,7.800383877,7.714746714623,7.58100272672408,7.59151155224462,17.65,30.815,1966.09333333333,2116.425,7.88833333333333,585.65,2.88333333333333,1.84666666666667,17.9571428571429,30.847,8.11757142857143,7.986,7.995,7.82457142857143,-0.402824713948429,2017-08-22,17.525,30.6775,1937.445,2100.6775,7.9275,513.55,3.0575,1.9575
"9",17120,2017-07-24,"Exposure",3,1,7,900,3.187,2.04,"Rowley",50,0.0101,0.0307,900,7.731285988,7.645648825623,7.51190483772408,7.52241366324462,17.55,30.8633333333333,2048.775,2117.77166666667,7.65833333333333,1037.16666666667,1.78333333333333,1.14,18.0142857142857,30.9662857142857,7.82614285714286,7.69457142857143,7.70357142857143,7.53185714285714,-0.180494031519857,2017-08-22,17.375,30.75,2034.8525,2104.585,7.665,1015.775,1.7825,1.14
"10",17129,2017-07-24,"Exposure",4,3,12,2800,4.381,2.201,"Rowley2",50,-0.0436,0.027,2800,7.414587332,7.328950169623,7.19520618172408,7.20571500724462,17.8,30.87,2057.77666666667,2141.28333333333,7.30333333333333,2513.55,0.846666666666667,0.543333333333333,18.2857142857143,30.9374285714286,7.35542857142857,7.22414285714286,7.23271428571429,7.06157142857143,-0.026478401805571,2017-08-22,17.55,30.75,1982.345,2130.8625,7.32,2403.1,0.8625,0.5525
