ID,date,sample_date,acclimation_experimental,experimental_period,pCO2_target,temp_target,shelf,tank,tankID,salinity,salinity,temp,pH_scaleFree,pH_SW,pH_Total,corr_CT,corr_AT,complete,pH_out,fCO2_out,pCO2_out,HCO3_out,CO3_out,CO2_out,B_Alk_out,OH_out,P_Alk_out,Si_Alk_out,Revelle_out,Ca_out,Ar_out,CO2_dry_out
1000_19_3-3_20170806_Exposure_80,08/06/17,20170806,Exposure,80,1000,19,3,3,9,31.03,30.99,19.80,7.46,7.63,7.64,2086.41,2146.95,Y,7.60,1223.70,1227.90,1975.40,70.30,40.70,29.60,1.40,0.00,0.00,16.39,1.73,1.11,1256.00
2800_19_4-1_20170806_Exposure_80,08/06/17,20170806,Exposure,80,2800,19,4,1,10,31.03,30.79,18.80,7.02,7.18,7.19,1999.82,2137.85,Y,7.84,661.00,663.30,1866.30,110.90,22.60,47.50,2.20,0.00,0.00,13.56,2.72,1.75,677.50
2800_19_4-2_20170806_Exposure_80,08/06/17,20170806,Exposure,80,2800,19,4,2,11,31.03,30.99,18.80,7.02,7.18,7.19,2010.87,2155.04,Y,7.85,642.70,644.90,1873.80,115.00,22.00,48.90,2.30,0.00,0.00,13.38,2.82,1.81,658.80
2800_19_4-3_20170806_Exposure_80,08/06/17,20170806,Exposure,80,2800,19,4,3,12,31.03,30.89,18.80,7.02,7.18,7.19,2124.58,2123.51,Y,7.41,1916.10,1922.70,2014.40,44.60,65.60,19.20,0.80,0.00,0.00,17.13,1.09,0.70,1964.00
1000_19_5-1_20170806_Exposure_80,08/06/17,20170806,Exposure,80,1000,19,5,1,13,31.03,30.89,18.90,7.50,7.66,7.67,2049.13,2123.47,Y,7.65,1045.70,1049.30,1937.50,75.90,35.70,32.70,1.50,0.00,0.00,15.97,1.86,1.20,1072.00
1000_19_5-2_20170806_Exposure_80,08/06/17,20170806,Exposure,80,1000,19,5,2,14,31.03,30.89,18.90,7.48,7.65,7.65,2005.73,2125.49,Y,7.79,746.40,749.00,1880.10,100.20,25.50,43.10,2.00,0.00,0.00,14.22,2.46,1.58,765.20
1000_19_5-3_20170806_Exposure_80,08/06/17,20170806,Exposure,80,1000,19,5,3,15,31.03,30.89,18.90,7.50,7.66,7.67,2006.79,2118.81,Y,7.77,785.20,787.90,1884.30,95.60,26.80,41.30,1.90,0.00,0.00,14.51,2.35,1.51,804.90
2800_19_6-1_20170806_Exposure_80,08/06/17,20170806,Exposure,80,2800,19,6,1,16,31.07,30.99,18.40,6.97,7.13,7.14,2313.52,2251.25,Y,7.23,3095.60,3106.40,2174.70,31.60,107.20,12.90,0.50,0.00,0.00,15.48,0.78,0.50,3171.50
2800_19_6-2_20170806_Exposure_80,08/06/17,20170806,Exposure,80,2800,19,6,2,17,31.03,30.99,18.40,6.99,7.16,7.17,2304.37,2184.65,Y,7.07,4349.60,4364.70,2132.10,21.60,150.70,9.10,0.40,0.00,0.00,12.77,0.53,0.34,4456.10
2800_19_6-3_20170806_Exposure_80,08/06/17,20170806,Exposure,80,2800,19,6,3,18,31.03,30.99,18.40,6.97,7.13,7.14,2325.10,2247.82,Y,7.19,3411.20,3423.10,2178.20,28.70,118.20,11.70,0.50,0.00,0.00,14.83,0.71,0.45,3494.80
550_19_1-1_20170818_Exposure_80,08/18/17,20170818,Exposure,80,550,19,1,1,1,31.10,31.10,19.50,7.80,7.97,7.98,1990.44,2145.27,Y,7.87,613.20,615.30,1848.50,121.40,20.60,51.50,2.50,0.00,0.00,12.93,2.98,1.92,629.10
550_19_1-2_20170818_Exposure_80,08/18/17,20170818,Exposure,80,550,19,1,2,2,31.10,31.10,19.50,7.80,7.97,7.98,2000.56,2161.95,Y,7.88,595.70,597.70,1854.80,125.80,20.00,53.00,2.60,0.00,0.00,12.76,3.09,1.99,611.10
550_19_1-3_20170818_Exposure_80,08/18/17,20170818,Exposure,80,550,19,1,3,3,31.10,31.10,19.50,7.80,7.97,7.98,2013.92,2160.59,Y,7.84,654.70,656.90,1875.00,117.00,22.00,49.30,2.40,0.00,0.00,13.27,2.87,1.85,671.70
550_19_2-1_20170818_Exposure_80,08/18/17,20170818,Exposure,80,550,19,2,1,4,31.00,31.00,19.30,7.81,7.98,7.99,2008.77,2163.92,Y,7.87,614.30,616.40,1866.00,122.10,20.70,51.30,2.50,0.00,0.00,13.00,3.00,1.93,630.10
550_19_2-2_20170818_Exposure_80,08/18/17,20170818,Exposure,80,550,19,2,2,5,31.00,31.00,19.30,7.81,7.98,7.99,2005.25,2161.74,Y,7.87,607.99,610.07,1861.93,122.79,20.53,51.71,2.53,0.00,0.00,12.94,3.02,1.94,623.61
550_19_2-3_20170818_Exposure_80,08/18/17,20170818,Exposure,80,550,19,2,3,6,31.00,31.00,19.30,7.81,7.98,7.99,2002.16,2163.35,Y,7.88,590.62,592.65,1856.55,125.67,19.95,52.89,2.60,0.00,0.00,12.78,3.09,1.99,605.80
1000_19_3-1_20170818_Exposure_80,08/18/17,20170818,Exposure,80,1000,19,3,1,7,30.90,30.90,19.80,7.57,7.74,7.75,2083.87,2161.10,Y,7.65,1081.52,1085.21,1969.00,78.83,36.04,32.88,1.58,0.00,0.00,15.89,1.94,1.25,1110.07
1000_19_3-2_20170818_Exposure_80,08/18/17,20170818,Exposure,80,1000,19,3,2,8,30.90,30.90,19.80,7.57,7.74,7.75,2070.84,2157.87,Y,7.68,1002.23,1005.65,1953.70,83.75,33.39,34.99,1.69,0.00,0.00,15.53,2.06,1.33,1028.69
1000_19_3-3_20170818_Exposure_80,08/18/17,20170818,Exposure,80,1000,19,3,3,9,30.90,30.90,19.80,7.57,7.74,7.75,2072.11,2158.96,Y,7.68,1004.25,1007.68,1954.96,83.69,33.46,34.95,1.69,0.00,0.00,15.54,2.06,1.33,1030.76
2800_19_4-1_20170818_Exposure_80,08/18/17,20170818,Exposure,80,2800,19,4,1,10,31.00,31.00,18.90,7.08,7.25,7.26,2261.51,2177.48,Y,7.16,3569.97,3582.29,2113.14,26.44,121.94,11.07,0.47,0.00,0.00,14.32,0.65,0.42,3659.77
2800_19_4-2_20170818_Exposure_80,08/18/17,20170818,Exposure,80,2800,19,4,2,11,31.00,31.00,18.90,7.08,7.25,7.26,2241.06,2165.47,Y,7.18,3373.29,3384.93,2098.25,27.59,115.22,11.62,0.49,0.00,0.00,14.68,0.68,0.44,3458.15
2800_19_4-3_20170818_Exposure_80,08/18/17,20170818,Exposure,80,2800,19,4,3,12,31.00,31.00,18.90,7.08,7.25,7.26,2192.36,2141.41,Y,7.25,2833.57,2843.34,2063.81,31.77,96.78,13.53,0.58,0.00,0.00,15.70,0.78,0.50,2904.85
1000_19_5-1_20170818_Exposure_80,08/18/17,20170818,Exposure,80,1000,19,5,1,13,30.90,30.90,18.90,7.58,7.75,7.76,2086.52,2154.95,Y,7.63,1113.40,1117.25,1974.60,73.87,38.05,31.23,1.41,0.00,0.00,16.26,1.82,1.17,1141.41
1000_19_5-2_20170818_Exposure_80,08/18/17,20170818,Exposure,80,1000,19,5,2,14,30.90,30.90,18.90,7.58,7.74,7.75,2087.13,2154.09,Y,7.63,1125.72,1129.60,1975.53,73.13,38.47,30.93,1.39,0.00,0.00,16.30,1.80,1.15,1154.04
1000_19_5-3_20170818_Exposure_80,08/18/17,20170818,Exposure,80,1000,19,5,3,15,30.90,30.90,18.90,7.58,7.74,7.75,2076.50,2162.60,Y,7.69,976.93,980.30,1960.15,82.96,33.39,34.95,1.59,0.00,0.00,15.65,2.04,1.31,1001.50
2800_19_6-1_20170818_Exposure_80,08/18/17,20170818,Exposure,80,2800,19,6,1,16,30.80,30.80,19.50,7.08,7.24,7.25,2255.05,2191.60,Y,7.21,3182.13,3193.03,2117.57,30.50,106.98,12.54,0.56,0.00,0.00,15.25,0.75,0.48,3264.79
2800_19_6-2_20170818_Exposure_80,08/18/17,20170818,Exposure,80,2800,19,6,2,17,30.80,30.80,19.50,7.08,7.25,7.26,2243.86,2188.62,Y,7.23,3005.88,3016.17,2110.73,32.08,101.05,13.21,0.59,0.00,0.00,15.59,0.79,0.51,3083.96
2800_19_6-3_20170818_Exposure_80,08/18/17,20170818,Exposure,80,2800,19,6,3,18,30.80,30.80,19.50,7.08,7.25,7.26,2250.27,2187.04,Y,7.21,3174.32,3185.19,2113.11,30.45,106.72,12.54,0.56,0.00,0.00,15.25,0.75,0.48,3256.78
