"","Date","tankID","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W"
"1",2017-06-05,1,18.2,30.42,1902.42,2073.01,7.94,487.2,3.17,2.03,18.2,30.421,8.118,7.987,7.996,7.829
"2",2017-06-06,1,18.2,30.42,1902.42,2073.01,7.94,487.2,3.17,2.03,17.65,30.2215,8.1025,7.972,7.9805,7.8155
"3",2017-06-13,1,17.8,30.24,1896.355,2057.465,7.93,501.15,3.015,1.93,17.5,30.1524,8.1132,7.9826,7.9914,7.8268
"4",2017-06-26,1,17.5666666666667,30.4866666666667,1925.26333333333,2082.22,7.91666666666667,524.666666666667,2.96,1.89333333333333,17.0857142857143,30.6287142857143,8.19071428571429,8.06,8.06885714285714,7.89985714285714
"5",2017-07-24,1,17.65,30.815,1966.09333333333,2116.425,7.88833333333333,585.65,2.88333333333333,1.84666666666667,17.9571428571429,30.847,8.11757142857143,7.986,7.995,7.82457142857143
"6",2017-08-23,1,18.0375,30.8525,1970.205,2123.74,7.89,583.175,2.93875,1.88375,19.3571428571429,31.1955714285714,8.069,7.933,7.942,7.76371428571429
"7",2017-06-05,2,18.1,30.52,1899.83,2076.77,7.96,468.6,3.26,2.09,18.1,30.523,8.096,7.966,7.975,7.806
"8",2017-06-06,2,18.1,30.52,1899.83,2076.77,7.96,468.6,3.26,2.09,17.6,30.323,8.089,7.959,7.968,7.801
"9",2017-06-13,2,17.75,30.305,1893.675,2056.775,7.935,495.15,3.04,1.945,17.48,30.22,8.1206,7.9902,7.999,7.8334
"10",2017-06-26,2,17.5333333333333,30.5633333333333,1944.45666666667,2082.16333333333,7.86333333333333,627.566666666667,2.69333333333333,1.72333333333333,17.0857142857143,30.7054285714286,8.18814285714286,8.05757142857143,8.06614285714286,7.89628571428571
"11",2017-07-24,2,17.68,30.774,1956.412,2109.366,7.894,578.84,2.924,1.872,17.9428571428571,30.8518571428571,8.12471428571429,7.99314285714286,8.00214285714286,7.83185714285714
"12",2017-08-23,2,18.1142857142857,30.8428571428571,1967.20142857143,2121.99428571429,7.89,582.785714285714,2.96142857142857,1.89857142857143,19.3428571428571,31.21,8.07871428571429,7.94285714285714,7.95185714285714,7.77314285714286
"13",2017-06-05,3,18.1,30.52,1913.17,2068.18,7.91,536.6,2.93,1.87,18.1,30.523,8.108,7.977,7.986,7.818
"14",2017-06-06,3,18.1,30.52,1913.17,2068.18,7.91,536.6,2.93,1.87,17.6,30.323,8.0925,7.9615,7.9705,7.8045
"15",2017-06-13,3,17.75,30.305,1900.4,2053.525,7.915,526.1,2.89,1.845,17.48,30.22,8.1162,7.9856,7.9944,7.8292
