Date,TankID,Temp_Complete,Sal_Complete,CT_Complete,AT_Complete,pH_Complete,pCO2_Complete,CaSat_Complete,ArgSat_Complete,Temp_2W,Sal_2W,pH_NBS_2W,pH_scaleFree_2W,Temp_Cal,Sal_Cal,CT_Cal,AT_Cal,pH_Cal,pCO2_Cal,CaSat_Cal,ArgSat_Cal
2017-07-24,4,17.3714285714286,30.7477588685714,1696.03442584286,2103.16593271429,7.92057142857143,525.071428571429,3.00571428571429,1.92285714285714,18.1142857142857,30.9757106071429,8.11665428571429,7.81017285714286,17.26,30.629360914,1585.22401598,2090.0094436,7.9222,520.92,2.982,1.906
2017-08-23,4,17.6888888888889,30.8190836711111,1762.78579432222,2114.05904022222,7.91122222222222,541.066666666667,3.00222222222222,1.92222222222222,19.2714285714286,31.09561799,8.09303285714286,7.78536428571429,17.26,30.629360914,1585.22401598,2090.0094436,7.9222,520.92,2.982,1.906
2017-06-26,4,17.325,30.4501561425,1487.283024475,2077.28149025,7.9215,520.2,2.9625,1.8925,16.8857142857143,30.6860738414286,8.20657142857143,7.90295428571429,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,4,17.6,30.312660545,1038.57922245,2063.3115685,7.9255,516.8,3,1.915,17.0333333333333,29.995474215,8.03712833333333,7.740345,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-13,4,17.4666666666667,30.2396517466667,1322.22639963333,2053.86319033333,7.91833333333333,521.3,2.92,1.86333333333333,17.2714285714286,30.0419318285714,8.09509714285714,7.79785571428571,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,4,17.6,30.312660545,1038.57922245,2063.3115685,7.9255,516.8,3,1.915,17.1833333333333,30.0402332333333,8.03515666666667,7.73793,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,5,17.4166666666667,30.6424697783333,1943.72730833333,2078.943178,7.855,620.516666666667,2.645,1.69166666666667,18.1142857142857,30.9661733557143,8.11654571428571,7.81015714285714,17.3,30.45851798,1926.363863,2045.79196225,7.82,667.775,2.4,1.535
2017-08-23,5,17.7625,30.74903245375,1956.331004875,2097.31684275,7.8623825,612.284025,2.74106125,1.7551375,19.2714285714286,31.1098660657143,8.08991714285714,7.78211,17.3,30.45851798,1926.363863,2045.79196225,7.82,667.775,2.4,1.535
2017-06-26,5,17.3,30.45851798,1926.363863,2045.79196225,7.82,667.775,2.4,1.535,16.8571428571429,30.6861221985714,8.20902285714286,7.90540571428571,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,5,17.55,30.32938422,1917.513625,2024.2576445,7.7855,718.45,2.215,1.42,17.05,29.989987575,8.03145166666667,7.734725,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-13,5,17.4333333333333,30.2508008633333,1907.727686,2012.14573133333,7.78333333333333,717.466666666667,2.17333333333333,1.39,17.2857142857143,30.0324754328571,8.09264428571429,7.79549571428571,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,5,17.55,30.32938422,1917.513625,2024.2576445,7.7855,718.45,2.215,1.42,17.1833333333333,30.0235525683333,8.03027833333333,7.73322,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,6,17.4166666666667,30.6591822883333,1937.58267083333,2101.79437466667,7.9325,507.383333333333,3.07166666666667,1.96333333333333,18.1285714285714,30.9280529328571,8.11697,7.81095714285714,17.3,30.47524165,1918.978521,2081.07317725,7.93425,501,3.03,1.935
2017-08-23,6,17.7625,30.76156683625,1951.261400375,2114.4290325,7.92154875,525.7188125,3.06741,1.9633275,19.2714285714286,31.0908110642857,8.09064285714286,7.78302285714286,17.3,30.47524165,1918.978521,2081.07317725,7.93425,501,3.03,1.935
2017-06-26,6,17.3,30.47524165,1918.978521,2081.07317725,7.93425,501,3.03,1.935,16.8285714285714,30.7148550228571,8.21257142857143,7.90867,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,6,17.55,30.36283156,1910.1060265,2064.6222885,7.915,522.95,2.915,1.86,17.1,30.006614805,8.02514166666667,7.72825,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-13,6,17.4333333333333,30.27309909,1898.43879066667,2058.771055,7.93333333333333,498.133333333333,2.99666666666667,1.91333333333333,17.3142857142857,30.04192498,8.08954714285714,7.79230714285714,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-06,6,17.55,30.36283156,1910.1060265,2064.6222885,7.915,522.95,2.915,1.86,17.2166666666667,30.028928835,8.02479166666667,7.72768,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-24,7,17.35,30.65654897375,2013.17465025,2100.056144375,7.71775,914.1125,2.01125,1.285,18.0142857142857,30.9661154971429,7.83831285714286,7.53192571428571,17.1666666666667,30.510790525,1992.02558616667,2085.36027116667,7.74216666666667,858.833333333333,2.08666666666667,1.33333333333333
2017-08-23,7,17.81,30.718841358,2026.8914384,2111.1657887,7.701967,952.3608,1.987078,1.271926,19.7571428571429,31.0620901728571,7.82593428571429,7.51859857142857,17.1666666666667,30.510790525,1992.02558616667,2085.36027116667,7.74216666666667,858.833333333333,2.08666666666667,1.33333333333333
2017-06-26,7,16.94,30.35038203,1974.4468054,2073.4391626,7.765,805.88,2.152,1.374,17,30.66710562,7.92288142857143,7.61945285714286,NA,NA,NA,NA,NA,NA,NA,NA
2017-06-05,7,17,30.1922022233333,1946.87085433333,2058.775586,7.80366666666667,737.466666666667,2.32666666666667,1.48666666666667,16.9666666666667,29.973193035,7.99361,7.69704833333333,NA,NA,NA,NA,NA,NA,NA,NA
