ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,EPF_pH,EPF_1hr,EPF_2hr,EPF_4hr,EPF_8hr,EPF_12hr,EPF_24hr,Notes
17011,5,2,900,2441,2468.42,865.45,2.15,7.62,7.086372195,NA,NA,NA,NA,NA,NA,
17020,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.702493853,NA,NA,NA,NA,NA,NA,
17023,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,6.971209268,NA,NA,NA,NA,NA,NA,
17049,2,2,400,2329.53,2437.2,590.67,2.86,7.83,7.046065171,NA,NA,NA,NA,NA,NA,
17054,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,7.88099639,NA,NA,NA,NA,NA,NA,
17066,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,7.103646634,NA,NA,NA,NA,NA,NA,
17098,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,7.380037658,NA,NA,NA,NA,NA,NA,
17119,1,3,400,2377.12,2484.38,574.36,2.93,7.84,7.466409853,NA,NA,NA,NA,NA,NA,
17131,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,6.861804488,NA,NA,NA,NA,NA,NA,
17138,2,1,400,2359.13,2470.99,545.47,2.98,7.83,7.282149171,NA,NA,NA,NA,NA,NA,
17141,3,1,900,2453.26,2468.16,943.47,2.01,7.59,7.616121658,NA,NA,NA,NA,NA,NA,
17186,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.886754536,NA,NA,NA,NA,NA,NA,
17189,1,2,400,2388.7,2486.18,535.06,3.1,7.84,7.305181756,NA,NA,NA,NA,NA,NA,
17196,5,1,900,2439.9,2459.91,936.56,2.02,7.62,7.103646634,NA,NA,NA,NA,NA,NA,
17199,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,6.976967415,NA,NA,NA,NA,NA,NA,
17212,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.529749463,NA,NA,NA,NA,NA,NA,
17215,3,2,900,2449.19,2464.79,904.6,2.08,7.59,8.214968877,NA,NA,NA,NA,NA,NA,
17217,1,1,400,2404.69,2506.24,576.45,2.97,7.83,7.403070244,NA,NA,NA,NA,NA,NA,
17026,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,6.775432293,NA,NA,NA,NA,NA,NA,
17032,3,2,900,2449.19,2464.79,904.6,2.08,7.59,7.397312097,NA,NA,NA,NA,NA,NA,
17036,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,7.915545268,NA,NA,NA,NA,NA,NA,
17040,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,6.832686217,NA,NA,NA,NA,NA,NA,
17045,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,6.959609538,NA,NA,NA,NA,NA,NA,
17050,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,7.028790732,NA,NA,NA,NA,NA,NA,
17061,1,3,400,2377.12,2484.38,574.36,2.93,7.84,7.686534013,NA,NA,NA,NA,NA,NA,
17065,5,1,900,2439.9,2459.91,936.56,2.02,7.62,7.58157278,NA,NA,NA,NA,NA,NA,
17080,5,2,900,2441,2468.42,865.45,2.15,7.62,7.512475024,NA,NA,NA,NA,NA,NA,
17104,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.692303254,NA,NA,NA,NA,NA,NA,
17117,2,2,400,2329.53,2437.2,590.67,2.86,7.83,6.982725561,NA,NA,NA,NA,NA,NA,
17147,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,7.305181756,NA,NA,NA,NA,NA,NA,
17155,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.346148743,NA,NA,NA,NA,NA,NA,
17187,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.628841594,NA,NA,NA,NA,NA,NA,
17195,1,1,400,2404.69,2506.24,576.45,2.97,7.83,7.708252,NA,NA,NA,NA,NA,NA,
17198,3,1,900,2453.26,2468.16,943.47,2.01,7.59,7.328214341,NA,NA,NA,NA,NA,NA,
17207,2,1,400,2359.13,2470.99,545.47,2.98,7.83,7.571149175,NA,NA,NA,NA,NA,NA,
17220,1,2,400,2388.7,2486.18,535.06,3.1,7.84,7.679461268,NA,NA,NA,NA,NA,NA,
17013,2,2,400,2329.53,2437.2,707.7,2.86,7.83,7.385795805,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17031,5,1,900,2439.9,2459.91,936.56,2.02,7.62,7.201535122,NA,NA,NA,NA,NA,NA,
17069,1,1,400,2404.69,2506.24,576.45,2.97,7.83,7.81765678,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17070,1,2,400,2388.7,2486.18,535.06,3.1,7.84,6.786948586,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17072,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,7.616121658,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17090,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,7.420344683,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17093,3,3,900,2442.18,2466.7,908.54,2.07,7.59,7.731284585,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17108,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,7.633396097,NA,NA,NA,NA,NA,NA,
17122,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,7.857963804,NA,NA,NA,NA,NA,NA,
17135,5,2,900,2441,2468.42,865.45,2.15,7.62,7.316698049,NA,NA,NA,NA,NA,NA,
17142,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,7.811898634,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17154,3,1,900,2453.26,2468.16,943.47,2.01,7.59,7.477926146,NA,NA,NA,NA,NA,NA,
17162,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.570056487,NA,NA,NA,NA,NA,NA,
17173,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.564298341,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17174,1,3,400,2377.12,2484.38,574.36,2.93,7.84,7.75431717,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17176,2,1,400,2359.13,2470.99,545.47,2.98,7.83,7.132437366,NA,NA,NA,NA,NA,NA,
17181,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,7.506716878,NA,NA,NA,NA,NA,NA,
17184,3,2,900,2449.19,2464.79,904.6,2.08,7.59,7.690977561,NA,NA,NA,NA,NA,NA,Not enough fluid for DIC
17008,2,2,400,2329.53,2437.2,590.67,2.86,7.83,6.672413793,NA,NA,NA,NA,NA,NA,
17022,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,7.275862069,NA,NA,NA,NA,NA,NA,
17028,1,3,400,2377.12,2484.38,574.36,2.93,7.84,7.66091954,NA,NA,NA,NA,NA,NA,
17030,5,1,900,2439.9,2459.91,936.56,2.02,7.62,7.448275862,NA,NA,NA,NA,NA,NA,
17048,5,3,900,2441.67,2467.77,890.65,2.12,7.62,7.396551724,NA,NA,NA,NA,NA,NA,
17053,4,1,2800,2587.92,2497.79,2378.18,1.08,7.22,7.517241379,NA,NA,NA,NA,NA,NA,
17075,3,1,900,2453.26,2468.16,943.47,2.01,7.59,7.620689655,NA,NA,NA,NA,NA,NA,
17095,1,1,400,2404.69,2506.24,576.45,2.97,7.83,7.632183908,NA,NA,NA,NA,NA,NA,
17110,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,7.333333333,NA,NA,NA,NA,NA,NA,
17114,6,2,2800,2608.91,2522.06,2346.38,1.21,7.23,7.5,NA,NA,NA,NA,NA,NA,
17116,3,2,900,2449.19,2464.79,904.6,2.08,7.59,7.275862069,NA,NA,NA,NA,NA,NA,
17151,5,2,900,2441,2468.42,865.45,2.15,7.62,7.528735632,NA,NA,NA,NA,NA,NA,
17157,2,3,400,2348.8,2454.04,519.42,3.1,7.83,7.781609195,NA,NA,NA,NA,NA,NA,
