"gene_id","Mod_Membership"
"LOC111126949",0
"LOC111128971",0
"LOC111123220",0
"LOC111126210",0
"LOC111125122",0
"LOC111124198",0
"LOC111126886",0
"LOC111125023",0
"LOC111122823",0
"LOC111124199",0
"LOC111126157",0
"LOC111125859",0
"LOC111123547",0
"LOC111123546",0
"LOC111123545",0
"LOC111101029",0.113695981822729
"LOC111122497",0
"LOC111122734",0
"LOC111125147",0
"LOC111125148",0
"LOC111124587",0
"LOC111124585",0
"LOC111124589",0
"LOC111124588",0
"LOC111122494",0
"LOC111122495",0
"LOC111123434",0
"LOC111123435",0
"LOC111123436",0
"LOC111123447",0
"LOC111123438",0
"LOC111123439",0
"LOC111122602",0
"LOC111122603",0
"LOC111122604",0
"LOC111122606",0
"LOC111123144",0
"LOC111114472",0
"LOC111123835",0
"LOC111122613",0
"LOC111127523",0
"LOC111126460",0
"LOC111126461",0
"LOC111125194",0
"LOC111125192",0
"LOC111120685",0
"LOC111123059",0
"LOC111127473",0
"LOC111123243",0
"LOC111126105",0
"LOC111126987",0
"LOC111123901",0
"LOC111123900",0
"LOC111127293",0
"LOC111124202",0
"LOC111120694",0
"LOC111127011",0
"LOC111127175",0
"LOC111125726",0
"LOC111124716",0
"LOC111124887",0
"LOC111123923",0
"LOC111124862",0
"LOC111125295",0
"LOC111118525",0
"LOC111125296",0
"LOC111123422",0
"LOC111125492",0
"LOC111125491",0
"LOC111125823",0
"LOC111104153",0
"LOC111122863",0
"LOC111125802",0
"LOC111122795",0
"LOC111126408",0
"LOC111125886",0
"LOC111125888",0
"LOC111125889",0
"LOC111126596",0
"LOC111127075",0
"LOC111122648",0
"LOC111127369",0
"LOC111124002",0
"LOC111103080",0
"LOC111127539",0
"LOC111123970",0
"LOC111126485",0
"LOC111127487",0
"LOC111106011",0
"LOC111126312",0
"LOC111125462",0
"LOC111125460",0
"LOC111120900",0
"LOC111123634",0
"LOC111123488",0
"LOC111125819",0
"LOC111127414",0
"LOC111127411",0
"LOC111122514",0
"LOC111126366",0
"LOC111127098",0
"LOC111132096",0
"LOC111124720",0
"LOC111124719",0
"LOC111122636",0
"LOC111126043",0
"LOC111125299",0
"LOC111125300",0
"LOC111125301",0
"LOC111126604",0
"LOC111126566",0
"LOC111126988",0
"LOC111122682",0
"LOC111126120",0
"LOC111127220",0.404708072273547
"LOC111124650",0
"LOC111127091",0
"LOC111124597",0
"LOC111126703",0
"LOC111126838",0
"LOC111125339",0
"LOC111125337",0
"LOC111123483",0
"LOC111123335",0
"LOC111125644",0
"LOC111124219",0
"LOC111126546",0
"LOC111126544",0
"LOC111124563",0
"LOC111124564",0
"LOC111124565",0
"LOC111126323",0
"LOC111134573",0
"LOC111126324",0
"LOC111126322",0
"LOC111126320",0
"LOC111127565",0
"LOC111126143",0
"LOC111126633",0
"LOC111126632",0
"LOC111122620",0
"LOC111124220",0
"LOC111124221",0
"LOC111124662",0
"LOC111122928",0
"LOC111126563",0
"LOC111125546",0
"LOC111116459",0
"LOC111123029",0
"LOC111124880",0
"LOC111124878",0
"LOC111124881",0
"LOC111124879",0
"LOC111124876",0
"LOC111126161",0
"LOC111122858",0
"LOC111118560",0
"LOC111123194",0
"LOC111123658",0
"LOC111123775",0
"LOC111125627",0
"LOC111125628",0
"LOC111127649",0
"LOC111122878",0
"LOC111115737",0
"LOC111126757",0
"LOC111126699",0
"LOC111123401",0
"LOC111126136",0
"LOC111125022",0
"LOC111111226",0
"LOC111127507",0
"LOC111124224",0
"LOC111125772",0
"LOC111122590",0
"LOC111123089",0
"LOC111126484",0
"LOC111125781",0
"LOC111123078",0
"LOC111124928",0
"LOC111106021",0
"LOC111124929",0
"LOC111124926",0
"LOC111124931",0
"LOC111124927",0
"LOC111122824",0
"LOC111122822",0
"LOC111126805",0
"LOC111122911",0
"LOC111126519",0
"LOC111123216",0
"LOC111123537",0
"LOC111124225",0
"LOC111123523",0
"LOC111123522",0
"LOC111126385",0
"LOC111126402",0
"LOC111122723",0
"LOC111123649",0
"LOC111125221",0
"LOC111125220",0
"LOC111123610",0
"LOC111125714",0
"LOC111123234",0
"LOC111123235",0
"LOC111126601",0
"LOC111099030",0
"LOC111122842",0
"LOC111122894",0
"LOC111126145",0
"LOC111124987",0
"LOC111126475",0
"LOC111126474",0
"LOC111102772",0
"LOC111125996",0
"LOC111126170",0
"LOC111126169",0
"LOC111126070",0
"LOC111125822",0
"LOC111123096",0
"LOC111122981",0
"LOC111125073",0
"LOC111106027",0
"LOC111125071",0
"LOC111125072",0
"LOC111123585",0
"LOC111126760",0
"LOC111126423",0
"LOC111123250",0
"LOC111102738",0
"LOC111123563",0
"LOC111127553",0
"LOC111127555",0
"LOC111125852",0
"LOC111127459",0
"LOC111125308",0
"LOC111125881",0
"LOC111127049",0
"LOC111102753",0
"LOC111126902",0
"LOC111123011",0
"LOC111125796",0
"LOC111124780",0
"LOC111124786",0
"LOC111124777",0
"LOC111124789",0
"LOC111124782",0
"LOC111124776",0
"LOC111124804",0
"LOC111124799",0
"LOC111124765",0
"LOC111124763",0
"LOC111124788",0
"LOC111102762",0
"LOC111124796",0
"LOC111124768",0
"LOC111124773",0
"LOC111124797",0
"LOC111124793",0
"LOC111132179",0
"LOC111124779",0
"LOC111124781",0
"LOC111124775",0
"LOC111124803",0
"LOC111124800",0
"LOC111124764",0
"LOC111124771",0
"LOC111124770",0
"LOC111124232",0
"LOC111124766",0
"LOC111124795",0
"LOC111124767",0
"LOC111124772",0
"LOC111106046",0
