ID,PCO2,Date,LongDate,Step,Timepoint,pHMeasured,pHNBS,pHSW,pHTotal
17178,2800,8/22/2017,20170822,Exposure,80,7.09,7.01,6.87,6.88
17179,900,6/26/2017,20170626,Exposure,22,7.31,7.22,7.09,7.10
17181,2800,6/13/2017,20170613,Exposure,9,7.51,7.42,7.29,7.30
17182,400,6/26/2017,20170626,Exposure,22,7.40,7.32,7.19,7.20
17184,900,6/13/2017,20170613,Exposure,9,7.73,7.64,7.51,7.52
17186,400,6/5/2017,20170605,Exposure,1,7.89,7.80,7.67,7.68
17187,900,6/6/2017,20170606,Exposure,2,7.63,7.55,7.42,7.43
17189,400,6/5/2017,20170605,Exposure,1,7.53,7.44,7.31,7.32
17190,2800,6/26/2017,20170626,Exposure,22,7.26,7.17,7.04,7.05
17195,400,6/6/2017,20170606,Exposure,2,7.69,7.60,7.47,7.48
17196,900,6/5/2017,20170605,Exposure,1,7.38,7.29,7.16,7.17
17198,900,6/6/2017,20170606,Exposure,2,7.31,7.22,7.09,7.10
17199,2800,6/5/2017,20170605,Exposure,1,6.98,6.89,6.76,6.77
17203,400,8/22/2017,20170822,Exposure,80,7.48,7.40,7.26,7.27
17204,900,8/22/2017,20170822,Exposure,80,7.52,7.43,7.30,7.31
17206,900,7/24/2017,20170724,Exposure,50,7.05,6.97,6.83,6.84
17207,400,6/6/2017,20170606,Exposure,2,7.58,7.49,7.36,7.37
17208,900,8/22/2017,20170822,Exposure,80,7.19,7.10,6.97,6.98
17210,2800,7/24/2017,20170724,Exposure,50,6.82,6.73,6.60,6.61
17211,400,8/22/2017,20170822,Exposure,80,7.71,7.62,7.49,7.50
17212,900,6/5/2017,20170605,Exposure,1,6.86,6.78,6.65,6.66
17213,2800,8/22/2017,20170822,Exposure,80,6.87,6.79,6.65,6.66
17215,900,6/5/2017,20170605,Exposure,1,6.97,6.89,6.76,6.77
17217,400,6/5/2017,20170605,Exposure,1,7.40,7.32,7.19,7.20
17218,900,7/24/2017,20170724,Exposure,50,7.65,7.57,7.43,7.44
17220,400,6/6/2017,20170606,Exposure,2,7.66,7.57,7.44,7.45
17222,2800,6/26/2017,20170626,Exposure,22,7.06,6.98,6.85,6.86
