ID,experiment,Acc_Exp,shelf,tank,tankID,exp_pCO2,pCO2,PopOrigin,length,width,pop,DrillDate,survival,survival_date,sample_index,tpnum_actual,sample_date,t_start,t_shuck,t_end,g_index,g_collect,g_20,m_tissue,dm_tissue,g_tissue,p_fluid,wet_wgt,tin_wgt,dry_wgt,wet_wgtcorr,dry_wgtcorr,bag_wgt,totalshell_wgt,shell_wgt,dry_end_meas,Hard_Nell_Index,Hard_Nell_Size_Correction,ShellWt_ShellSizeCor,Simple_ConditionIndex,Repair_Shell_Quality,notes
17073,calcein,Calcein,3,2,8,900,900,Rowley1-RR,4.812,2.395,Rowley,20170427,Y,20170915,186,11,20170915,11:11,11:13,11:17,0,N,N,Y,Y,Y,N,4.41,1.28,NA,NA,NA,NA,NA,NA,76.912,#VALUE!,#VALUE!,6.673642963,#VALUE!,0,
17074,calcein,Calcein,1,3,3,400,400,Ipswich,4.014,2.19,Ipswich,20170427,Y,20170915,178,11,20170915,10:53,10:54,10:58,0,N,N,Y,Y,Y,N,8.57,1.29,NA,NA,NA,NA,NA,NA,74.428,#VALUE!,#VALUE!,8.466713535,#VALUE!,5,
17075,exposure,Exposure,3,1,7,900,900,Rowley2-Sawyers,5.77,1.955,Rowley2,20170427,Y,20170626,115,7,20170626,10:36,10:50,10:57,0,Y,NA,Y,Y,Y,Y,10.9,1.28,2.54,9.62,1.26,NA,NA,NA,65.044,2.013669685,0.3489895468,5.766133143,37.51537204,1,
17076,exposure,Acclimation,6,1,16,2800,400,Rowley1-RR,3.584,2.369,Rowley,20170427,Y,20170517,34,2,20170517,14:17,14:28,14:34,2,Y,Y,Y,Y,Y,Y,9.68,1.29,2.67,8.39,1.38,11.3,73.39,62.09,62.09,2.64908239,0.739141292,7.312882545,47.36009398,1,
17077,exposure,Acclimation,1,1,1,400,400,Ipswich,3.711,1.845,Ipswich,20170427,Y,20170602,37,3,20170602,10:37,10:42,10:52,0,N,NA,Y,Y,Y,Y,7.97,1.28,2.08,6.69,0.8,11.49,49.31,37.82,37.82,3.161857876,0.852023141,5.523752354,30.57358207,3,
17078,exposure,Acclimation,4,2,11,2800,400,Rowley2-Sawyers,5.517,2.425,Rowley2,20170427,Y,20170602,47,3,20170602,11:07,11:18,11:24,0,Y,NA,Y,Y,Y,Y,10.19,1.29,2.56,8.9,1.27,11.62,126.13,114.51,114.51,1.246149936,0.225874558,8.559111575,34.7213304,3,
17079,exposure,Exposure,2,3,6,400,400,Rowley1-RR,3.777,2.532,Rowley,20170427,Y,20170822,149,9,20170822,10:11,10:22,10:29,0,N,N,Y,Y,Y,Y,4.72,1.29,1.904,3.43,0.614,NA,NA,NA,61.797,2.896722274,0.7669373243,6.461847526,19.85468623,3,
17080,exposure,Exposure,5,2,14,900,900,Ipswich,3.322,2.372,Ipswich,20170427,Y,20170606,86,5,20170606,10:54,11:04,11:07,0,N,NA,Y,Y,Y,Y,6.51,1.3,1.89,5.21,0.59,11.45,71.51,60.06,60.06,1.885510523,0.5675829388,7.62203634,21.01816781,1,
17081,calcein,Calcein,2,1,4,400,400,Rowley2-Sawyers,7.7,2.131,Rowley2,20170427,Y,20170915,180,11,20170915,12:32,12:34,12:40,0,N,N,Y,Y,Y,N,6.08,1.3,NA,NA,NA,NA,NA,NA,116.542,#VALUE!,#VALUE!,7.102451748,#VALUE!,4,
17082,exposure,Exposure,3,3,9,900,900,Rowley1-RR,3.922,2.529,Rowley,20170427,Y,20170822,152,9,20170822,1036,10:38,10:44,0,N,N,Y,Y,Y,Y,5.46,1.28,1.849,4.18,0.569,NA,NA,NA,55.286,2.46218576,0.627788312,5.573894582,18.06691732,1,
17083,exposure,Acclimation,5,2,14,900,400,Ipswich,3.301,2.329,Ipswich,20170427,Y,20170517,32,2,20170517,14:33,14:45,14:50,1,Y,NA,Y,Y,Y,Y,8.59,1.31,2.23,7.28,0.92,11.45,89.37,77.92,77.92,1.621838121,0.4913172132,10.13523752,33.18030096,2,
17084,exposure,Acclimation,4,3,12,2800,400,Rowley2-Sawyers,4.456,2.248,Rowley2,20170427,Y,20170517,30,2,20170517,11:23,11:37,11:43,0,Y,NA,Y,Y,Y,Y,6.36,1.29,2.06,5.07,0.77,11.46,71.17,59.71,59.71,2.54352315,0.5708086063,5.960814161,24.32876036,3,
17085,exposure,Exposure,6,1,16,2800,2800,Rowley1-RR,6.1,1.844,Rowley,20170427,Y,20170724,142,8,20170724,14:33,14:41,14:44,0,N,N,Y,Y,Y,Y,8.08,1.31,2.231,6.77,0.921,NA,NA,NA,77.076,1.765028789,0.2893489818,6.852174531,27.46086761,2,
17086,exposure,Acclimation,5,1,13,900,400,Ipswich,3.55,2.197,Ipswich,20170427,Y,20170602,49,3,20170602,11:18,11:26,11:31,0,N,NA,Y,Y,Y,Y,9.16,1.29,2.21,7.87,0.92,11.62,64.75,53.13,53.13,2.20025633,0.6197905155,6.812106137,32.94265685,5,Stabbed while shucking
17087,calcein,DEAD,6,1,16,2800,2800,Rowley2-Sawyers,4.227,2.017,Rowley2,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4,
17088,calcein,Calcein,3,3,9,900,900,Ipswich,4.564,2.376,Ipswich,20170427,Y,20170915,190,11,20170915,14:20,14:21,14:22,0,N,N,Y,Y,Y,N,4.91,1.29,NA,NA,NA,NA,NA,NA,59.337,#VALUE!,#VALUE!,5.471841553,#VALUE!,2,
17089,exposure,Exposure,2,3,6,400,400,Rowley1-RR,2.875,1.639,Rowley,20170427,Y,20170822,167,10,20170824,12:08,12:17,12:22,0,N,N,Y,Y,Y,Y,2.95,1.28,1.555,1.67,0.275,NA,NA,NA,25.869,6.365559499,2.214107652,5.489879831,12.66847365,4,
17090,exposure,Exposure,6,2,17,2800,2800,Rowley2-Sawyers,5.49,2.316,Rowley2,20170427,Y,20170613,107,6,20170613,14:29,14:33,14:39,0,Y,NA,Y,Y,Y,Y,13.03,1.29,2.53,11.74,1.24,11.57,66.52,54.95,54.95,1.922143872,0.350117281,4.321721705,34.77492767,1,
17091,calcein,Calcein,2,2,5,400,400,Ipswich,3.351,2.355,Ipswich,20170427,Y,20170915,182,11,20170915,14:38,14:39,14:41,0,N,N,Y,Y,Y,N,9.48,1.29,NA,NA,NA,NA,NA,NA,43.338,#VALUE!,#VALUE!,5.491658541,#VALUE!,4,
17092,exposure,Acclimation,3,1,7,900,400,Rowley2-Sawyers,5.489,2.413,Rowley2,20170427,Y,20170509,7,1,20170509,NA,10:45,NA,0,N,NA,Y,Y,Y,Y,11.52,1.31,1.83,10.21,0.52,6.67,51.59,44.92,44.92,1.133803658,0.2065592382,3.391479489,14.28821798,0,
17093,exposure,Exposure,3,3,9,900,900,Rowley1-RR,4.47,2.838,Rowley,20170427,Y,20170613,99,6,20170613,11:35,11:41,11:46,0,N,NA,Y,Y,Y,Y,9.07,1.28,2.53,7.79,1.25,11.41,206.79,195.38,195.38,0.8212822752,0.1837320526,15.40139967,35.09538862,1,
17094,exposure,Exposure,6,2,17,2800,2800,Ipswich,5.072,2.536,Ipswich,20170427,Y,20170822,160,9,20170822,13:32,13:35,13:43,2,Y,N,Y,Y,Y,Y,14.57,1.28,3.652,13.29,2.372,NA,NA,NA,101.019,1.766796941,0.3483432455,7.853704759,66.13790556,4,
17095,exposure,Exposure,1,1,1,400,400,Rowley2-Sawyers,5.149,3.013,Rowley2,20170427,Y,20170626,109,7,20170626,13:11,13:19,13:23,0,Y,NA,Y,Y,Y,Y,10.53,1.29,2.31,9.24,1.02,NA,NA,NA,106.978,1.031890766,0.2004060529,6.895606189,25.89638601,1,
17096,exposure,Acclimation,4,3,12,2800,400,Rowley1-RR,3.772,2.036,Rowley,20170427,Y,20170602,48,3,20170602,13:52,13:58,14:04,0,Y,NA,Y,Y,Y,Y,7.7,1.28,2.48,6.42,1.2,11.48,53.31,41.83,41.83,4.468464926,1.184640754,5.4467621,43.30185657,4,Some shell still attached to soft tissue (corrected)
17097,exposure,Acclimation,6,1,16,2800,400,Ipswich,3.765,2.13,Ipswich,20170427,Y,20170602,52,3,20170602,14:56,15:03,15:08,0,Y,NA,Y,Y,Y,Y,9.83,1.29,2.46,8.54,1.17,11.5,68.46,56.96,56.96,2.405237744,0.6388413664,7.102731484,41.31555297,1,Low P2 volume
17098,exposure,Exposure,4,1,10,2800,2800,Rowley2-Sawyers,4.453,2.251,Rowley2,20170427,Y,20170605,63,4,20170605,13:21,13:29,13:33,0,N,NA,Y,Y,Y,Y,6.13,1.28,1.81,4.85,0.53,11.4,76.51,65.11,65.11,1.678365082,0.3769065983,6.495603471,16.74024364,1,"Different order sampled: DM, then gills, then M1/M2"
17099,exposure,Exposure,1,3,3,400,400,Rowley1-RR,3.245,2.115,Rowley,20170427,Y,20170822,146,9,20170822,13:38,13:46,13:51,0,N,N,Y,Y,Y,Y,9.28,1.29,2.169,7.99,0.879,NA,NA,NA,85.934,1.280197776,0.3945139524,12.52102708,33.5526123,4,
17100,calcein,DEAD,5,1,13,900,900,Ipswich,3.576,2.41,Ipswich,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4,
17101,exposure,DEAD,6,2,17,2800,2800,Rowley2-Sawyers,5.036,1.851,Rowley2,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3,
17102,exposure,DEAD,1,1,1,400,400,Rowley1-RR,3.428,1.361,Rowley,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3,See photo for G1 maturity
17103,exposure,Acclimation,3,2,8,900,400,Rowley1-RR,3.725,1.73,Rowley,20170427,Y,20170509,8,1,20170509,NA,13:42,NA,0,N,NA,Y,Y,Y,Y,4.6,1.29,0.98,3.31,-0.31,6.69,40.25,33.56,33.56,-2.790690975,-0.7491787853,5.207743337,-12.21168249,4,
17104,exposure,Exposure,2,3,6,400,400,Rowley2-Sawyers,3.947,1.813,Rowley2,20170427,Y,20170606,78,5,20170606,13:51,14:00,14:03,0,N,NA,Y,Y,Y,Y,7.24,1.29,2.19,5.95,0.9,11.56,47.7,36.14,36.14,4.185404101,1.060401343,5.050370246,33.64418747,1,
17105,calcein,Calcein,1,2,2,400,400,Ipswich,5.003,3.037,Ipswich,20170427,Y,20170915,177,11,20170915,13:16,13:18,13:21,0,N,N,Y,Y,Y,N,13.24,130,NA,NA,NA,NA,NA,NA,100.92,#VALUE!,#VALUE!,6.64204704,#VALUE!,3,Stabbed shucking
17106,exposure,Exposure,5,2,14,900,900,Ipswich,3.801,2.507,Ipswich,20170427,Y,20170724,140,8,20170724,14:17,14:22,14:25,0,N,N,Y,Y,Y,Y,7.49,1.29,2.036,6.2,0.746,NA,NA,NA,86.175,1.396258551,0.3673397925,9.043344775,24.16644263,5,
17107,exposure,Acclimation,6,3,18,2800,400,Rowley2-Sawyers,4.822,2.066,Rowley2,20170427,Y,20170517,36,2,20170517,11:44,11:58,12:07,2,Y,NA,Y,Y,Y,Y,11.29,1.29,2.54,10,1.25,11.35,70.14,58.79,58.79,2.126211941,0.4409398467,5.901276137,39.60328867,4,
17108,exposure,Exposure,6,3,18,2800,2800,Ipswich,4.055,2.132,Ipswich,20170427,Y,20170613,108,6,20170613,10:46,10:58,11:03,0,N,NA,Y,Y,Y,Y,8.12,1.29,2.35,6.83,1.06,11.46,57.27,45.81,45.81,3.387855433,0.8354760624,5.298857409,36.05096015,3,
17109,exposure,Acclimation,2,2,5,400,400,Rowley2-Sawyers,3.836,2.536,Rowley2,20170427,Y,20170602,41,3,20170602,10:49,10:55,11:01,0,N,NA,Y,Y,Y,Y,8.57,1.3,2.49,7.27,1.19,11.61,98.13,86.52,86.52,1.891890689,0.4931936102,8.893826706,38.15338171,3,
17110,exposure,Exposure,4,2,11,2800,2800,Ipswich,4.02,2.471,Ipswich,20170427,Y,20170626,126,7,20170626,14:13,14:19,14:24,0,Y,NA,Y,Y,Y,Y,9.6,1.3,1.92,8.3,0.62,NA,NA,NA,81.184,0.9201172051,0.2288848769,8.1728146,19.67171801,1,
17111,exposure,Exposure,2,1,4,400,400,Rowley1-RR,3.09,1.701,Rowley,20170427,Y,20170724,130,8,20170724,13:20,13:29,13:33,0,N,N,Y,Y,Y,Y,3.83,1.31,1.723,2.52,0.413,NA,NA,NA,31.784,5.156333026,1.66871619,6.047080625,18.01435244,5,Stabbed by syringe
17112,exposure,Acclimation,1,1,1,400,400,Rowley2-Sawyers,5.379,2.046,Rowley2,20170427,Y,20170509,1,1,20170509,NA,9:44,NA,0,Y,NA,Y,Y,Y,Y,6.36,1.28,1.37,5.08,0.09,6.82,75.83,69.01,69.01,0.2567241767,0.04772711967,6.270538718,2.71293209,0,
17113,exposure,Exposure,1,1,1,400,400,Rowley1-RR,3.428,1.361,Rowley,20170427,Y,20170724,127,8,20170724,14:05,14:09,14:12,0,N,N,Y,Y,Y,Y,5.87,1.3,2.093,4.57,0.793,NA,NA,NA,51.089,3.396484095,0.9908063288,10.95036168,36.71332494,1,
17114,exposure,Exposure,6,2,17,2800,2800,Ipswich,3.992,1.934,Ipswich,20170427,Y,20170626,124,7,20170626,14:08,14:12,14:16,0,Y,NA,Y,Y,Y,Y,7.42,1.28,1.82,6.14,0.54,NA,NA,NA,49.779,1.766766764,0.4425768446,6.447616018,19.43436069,1,
17115,calcein,Calcein,1,2,2,400,400,Rowley2-Sawyers,4.656,1.808,Rowley2,20170427,Y,20170915,176,11,20170915,10:35,10:37,10:40,0,N,N,Y,Y,Y,N,5.11,1.31,NA,NA,NA,NA,NA,NA,56.412,#VALUE!,#VALUE!,6.70131603,#VALUE!,2,
17116,exposure,Exposure,3,2,8,900,900,Rowley1-RR,3.69,2.401,Rowley,20170427,Y,20170626,116,7,20170626,13:40,13:47,13:51,0,Y,NA,Y,Y,Y,Y,5.69,1.29,1.92,4.4,0.63,NA,NA,NA,72.33,1.979563365,0.5364670366,8.163942531,21.16563421,2,
17117,exposure,Exposure,2,2,5,400,400,Ipswich,5.018,2.397,Ipswich,20170427,Y,20170606,77,5,20170606,11:03,11:11,11:16,0,N,NA,Y,Y,Y,N,12.52,1.3,3.04,11.22,1.74,11.44,106.08,94.64,94.64,1.63863286,0.3265509885,7.868211776,50.17067023,3,"Maybe dying, detached from shell"
17118,calcein,Calcein,1,1,1,400,400,Rowley2-Sawyers,7.3,2.264,Rowley2,20170427,Y,20170915,174,11,20170915,12:42,12:45,12:49,0,N,N,Y,Y,Y,N,6.23,1.29,NA,NA,NA,NA,NA,NA,83.622,#VALUE!,#VALUE!,5.059659228,#VALUE!,3,"Maybe dying, detached from shell"
17119,exposure,Exposure,1,3,3,400,400,Ipswich,5.387,2.004,Ipswich,20170427,Y,20170605,57,4,20170605,15:08,15:19,15:24,0,Y,NA,Y,Y,Y,Y,11.24,1.3,2.35,9.94,1.05,11.4,83.37,71.97,71.97,1.467747712,0.2724610566,6.666637025,31.95706991,1,
17120,exposure,Exposure,3,1,7,900,900,Rowley1-RR,3.187,2.04,Rowley,20170427,Y,20170724,133,8,20170724,14:22,14:28,14:30,0,N,N,Y,Y,Y,Y,4.64,1.3,1.631,3.34,0.331,NA,NA,NA,36.703,2.700100711,0.847223317,5.645329986,12.98141035,2,
17121,exposure,Acclimation,3,3,9,900,400,Rowley2-Sawyers,5.483,1.781,Rowley2,20170427,Y,20170517,27,2,20170517,12:08,12:19,12:25,0,Y,NA,Y,Y,Y,Y,9.03,1.29,2.12,7.74,0.83,NA,NA,NA,54.789,1.957238535,0.3569648979,5.61062456,26.56054669,0,
17122,exposure,Exposure,4,1,10,2800,2800,Ipswich,3.405,2.333,Ipswich,20170427,Y,20170613,100,6,20170613,14:35,14:42,14:46,0,Y,NA,Y,Y,Y,Y,9.1,1.27,2.63,7.83,1.36,11.47,57.48,46.01,46.01,3.775069166,1.108684043,5.791890975,48.25285126,4,Valve came off
17123,exposure,Exposure,4,2,11,2800,2800,Rowley1-RR,3.764,2.533,Rowley,20170427,Y,20170822,168,10,20170824,10:26,10:31,10:35,0,N,N,Y,Y,Y,Y,7.22,1.28,2.135,5.94,0.855,NA,NA,NA,59.725,2.410035897,0.6402858387,6.264282774,27.69004825,0,
17124,exposure,Acclimation,5,3,15,900,400,Rowley2-Sawyers,4.348,1.849,Rowley2,20170427,Y,20170517,33,2,20170517,11:55,12:09,12:15,0,Y,NA,Y,Y,Y,Y,8.19,1.29,2.43,6.9,1.14,11.59,59.38,47.79,47.79,3.457154034,0.7951136234,5.944435019,40.20607033,0,
17125,exposure,DEAD,5,2,14,900,900,Ipswich,3.801,2.507,Ipswich,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,Not looking healthy
17126,exposure,Exposure,4,3,12,2800,2800,Rowley1-RR,4.139,2.324,Rowley,20170427,Y,20170822,169,10,20170824,11:58,12:00,12:04,0,N,N,Y,Y,Y,Y,2.81,1.29,1.479,1.52,0.189,NA,NA,NA,45.999,2.703148009,0.6530920534,4.782080034,6.093909905,2,
17127,exposure,Acclimation,3,3,9,900,400,Rowley1-RR,3.769,2.131,Rowley,20170427,Y,20170602,45,3,20170602,10:53,11:02,11:08,0,N,NA,Y,Y,Y,Y,8.2,1.28,2.12,6.92,0.84,11.54,79.45,67.91,67.91,1.787472879,0.4742565347,8.455205031,29.63974702,2,
17128,calcein,DEAD,3,1,7,900,900,Ipswich,3.403,2.065,Ipswich,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2,
17129,exposure,Exposure,4,3,12,2800,2800,Rowley2-Sawyers,4.381,2.201,Rowley2,20170427,Y,20170724,138,8,20170724,13:56,14:03,14:08,0,N,N,Y,Y,Y,Y,3.69,1.28,1.635,2.41,0.355,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,11.43224979,NA,
17130,exposure,Exposure,6,3,18,2800,2800,Rowley1-RR,2.672,1.977,Rowley,20170427,Y,20170822,161,9,20170822,14:02,14:08,14:12,0,N,N,Y,Y,Y,Y,2.89,1.28,1.579,1.61,0.299,NA,NA,NA,21.806,8.516659897,3.187372716,4.127935328,13.00917113,1,Stabbed while shucking
17131,exposure,Exposure,6,2,17,2800,2800,Ipswich,3.983,1.8,Ipswich,20170427,Y,20170605,69,4,20170605,13:09,13:14,13:19,0,N,NA,Y,Y,Y,Y,4.25,1.28,1.69,2.97,0.41,11.35,48.84,37.49,37.49,3.682238945,0.9244888137,5.22916841,15.31237128,2,
17132,calcein,DEAD,6,2,17,2800,2800,Rowley2-Sawyers,3.239,1.513,Rowley2,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4,17106 replaced 17125 which was already dead; 17106 didn't look health
17133,exposure,Exposure,4,1,10,2800,2800,Rowley1-RR,2.939,1.977,Rowley,20170427,Y,20170724,136,8,20170724,13:33,13:37,13:41,0,N,N,Y,Y,Y,Y,3.56,1.29,1.543,2.27,0.253,NA,NA,NA,25.014,4.455654613,1.516044441,4.305037017,10.49584464,2,
17134,exposure,Acclimation,2,2,5,400,400,Ipswich,3.172,2.012,Ipswich,20170427,Y,20170517,23,2,20170517,14:25,14:38,14:42,0,N,NA,Y,Y,Y,Y,5.58,1.29,1.88,4.29,0.59,11.32,47.81,36.49,36.49,3.768954166,1.188194882,5.717586035,23.35454626,1,17113 replaced 17102 which was already dead
17135,exposure,Exposure,5,2,14,900,900,Rowley2-Sawyers,2.408,1.464,Rowley2,20170427,Y,20170613,104,6,20170613,10:40,10:48,10:53,0,N,NA,Y,Y,Y,N,2.78,1.31,1.5,1.47,0.19,11.47,27.83,16.36,16.36,7.900470702,3.280926371,4.640723998,10.11940136,2,
17136,exposure,DEAD,NA,NA,NA,NA,NA,Rowley1-RR,5.311,2.122,Rowley,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,
17137,exposure,DEAD,1,1,1,400,400,Ipswich,4.009,2.055,Ipswich,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3,
17138,exposure,Exposure,2,1,4,400,400,Rowley2-Sawyers,3.127,1.58,Rowley2,20170427,Y,20170605,58,4,20170605,11:43,12:09,12:13,0,N,NA,Y,Y,Y,Y,4.37,1.3,1.79,3.07,0.49,11.35,36.39,25.04,25.04,6.374166155,2.038428575,5.06814879,22.04466969,2,
17139,calcein,Calcein,5,1,13,900,900,Rowley1-RR,2.868,1.671,Rowley,20170427,Y,20170915,194,11,20170915,14:49,14:51,14:53,0,N,N,Y,Y,Y,N,3.96,1.28,NA,NA,NA,NA,NA,NA,25.95,#VALUE!,#VALUE!,5.414791834,#VALUE!,2,
17140,calcein,DEAD,6,2,17,2800,2800,Ipswich,4.424,2.115,Ipswich,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,
17141,exposure,Exposure,3,1,7,900,900,Rowley2-Sawyers,2.513,2.045,Rowley2,20170427,Y,20170605,60,4,20170605,14:27,14:37,14:41,0,N,NA,Y,Y,Y,Y,3.93,1.29,1.6,2.64,0.31,11.38,33.94,22.56,22.56,5.204975285,2.071219771,4.389886526,13.67473104,3,
17142,exposure,Exposure,6,1,16,2800,2800,Rowley1-RR,2.524,2.052,Rowley,20170427,Y,20170613,106,6,20170613,13:22,13:27,13:32,0,N,NA,Y,Y,Y,Y,3.9,1.29,1.69,2.61,0.4,11.46,42.79,31.33,31.33,4.891691828,1.938071247,6.049140725,17.57626686,1,
17143,exposure,Exposure,1,2,2,400,400,Ipswich,2.731,1.981,Ipswich,20170427,Y,20170724,128,8,20170724,15:05,15:10,15:14,1,Y,N,Y,Y,Y,Y,4.6,1.29,1.964,3.31,0.674,NA,NA,NA,39.959,5.095857695,1.865931049,7.385985241,28.97722605,2,
17144,calcein,Calcein,1,1,1,400,400,Rowley2-Sawyers,3.441,1.429,Rowley2,20170427,Y,20170915,175,11,20170915,14:44,14:45,14:47,0,N,N,Y,Y,Y,N,2.61,1.29,NA,NA,NA,NA,NA,NA,16.936,#VALUE!,#VALUE!,3.444244262,#VALUE!,1,
17145,exposure,Exposure,6,1,16,2800,2800,Ipswich,3.369,1.82,Ipswich,20170427,Y,20170822,159,9,20170822,10:51,10:33,11:01,0,N,N,Y,Y,Y,Y,3.67,1.29,1.651,2.38,0.361,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,14.57877396,NA,
17146,calcein,DEAD,NA,NA,NA,NA,NA,Rowley2-Sawyers,2.927,1.532,Rowley2,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2,
17147,exposure,Exposure,4,1,10,2800,2800,Rowley1-RR,4.948,1.615,Rowley,20170427,Y,20170606,82,5,20170606,10:49,10:54,10:59,0,Y,NA,Y,Y,Y,Y,5.26,1.29,1.77,3.97,0.48,11.54,53.23,41.69,41.69,2.900139146,0.5861235138,5.217106202,16.9800955,0,
17148,calcein,Calcein,2,3,6,400,400,Ipswich,4.654,2.124,Ipswich,20170427,Y,20170915,184,11,20170915,11:28,11:29,11:35,0,N,N,Y,Y,Y,N,4.92,1.28,NA,NA,NA,NA,NA,NA,64.436,#VALUE!,#VALUE!,6.518500174,#VALUE!,3,
17149,exposure,Acclimation,4,1,10,2800,400,Rowley2-Sawyers,2.631,1.697,Rowley2,20170427,Y,20170509,10,1,20170509,NA,11:30,NA,0,N,NA,Y,Y,Y,Y,2.21,1.29,0.41,0.92,-0.88,6.63,26.07,19.44,19.44,-49.20379317,-18.70155575,4.354051586,-41.64677024,0,
17150,exposure,Acclimation,2,3,6,400,400,Rowley1-RR,4.1,2.251,Rowley,20170427,Y,20170602,42,3,20170602,14:47,14:53,14:59,0,Y,NA,Y,Y,Y,N,8.94,1.29,2.33,7.65,1.04,11.6,92.7,81.1,81.1,1.676297317,0.4088530042,8.787422392,34.23368604,1,
17151,exposure,Exposure,5,2,14,900,900,Ipswich,3.088,2.12,Ipswich,20170427,Y,20170626,121,7,20170626,10:42,10:58,11:05,0,Y,NA,Y,Y,Y,Y,7.7,1.27,2.54,6.43,1.27,NA,NA,NA,40.56,4.869616964,1.576948499,6.195620295,49.63604215,2,
17152,calcein,Calcein,1,3,3,400,400,Rowley2-Sawyers,3.031,2.004,Rowley2,20170501,Y,20170915,179,11,20170915,13:09,13:11,13:13,0,N,N,Y,Y,Y,N,3.64,1.3,NA,NA,NA,NA,NA,NA,27.058,#VALUE!,#VALUE!,4.454634117,#VALUE!,1,
17153,exposure,Exposure,5,2,14,900,900,Rowley1-RR,4.089,2.869,Rowley,20170427,Y,20170822,170,10,20170824,12:02,12:08,12:12,0,N,N,Y,Y,Y,Y,6.98,1.26,2.308,5.72,1.048,NA,NA,NA,71.774,2.552690155,0.6242822586,6.11814114,30.59760637,3,
17154,exposure,Exposure,3,1,7,900,900,Ipswich,3.841,2.465,Ipswich,20170427,Y,20170613,97,6,20170613,13:36,13:40,13:45,0,Y,Y,Y,Y,Y,Y,11.74,1.31,3.16,10.43,1.85,11.41,91.55,80.14,80.14,2.213288777,0.5762272266,8.464242694,60.1230651,3,
17155,exposure,Exposure,3,3,9,900,900,Rowley2-Sawyers,2.498,1.876,Rowley2,20170427,Y,20170606,81,5,20170606,13:47,13:53,13:57,0,N,NA,Y,Y,Y,Y,3.07,1.29,1.52,1.78,0.23,11.43,40.78,29.35,29.35,4.402503685,1.762411403,6.263006141,10.62466394,2,
17156,exposure,Exposure,5,3,15,900,900,Rowley1-RR,3.556,2.433,Rowley,20170427,Y,20170822,171,10,20170824,11:19,11:25,11:30,0,N,N,Y,Y,Y,Y,3.6,1.29,1.577,2.31,0.287,NA,NA,NA,49.394,2.515334337,0.7073493636,5.70913531,9.75730692,3,
17157,exposure,Exposure,2,3,6,400,400,Ipswich,2.979,2.137,Ipswich,20170427,Y,20170626,114,7,20170626,14:20,14:26,14:30,0,Y,NA,Y,Y,Y,Y,8.28,1.29,2.36,6.99,1.07,NA,NA,NA,39.87,3.839373529,1.288812866,6.262838465,42.40785097,4,
17158,exposure,Exposure,3,3,9,900,900,Rowley2-Sawyers,3.5,1.943,Rowley2,20170501,Y,20170724,135,8,20170724,15:11,15:21,15:24,0,N,N,Y,Y,Y,Y,5.57,1.29,1.663,4.28,0.373,NA,NA,NA,37.207,2.342288621,0.6692253202,5.471215352,14.30337119,1,
