ID,experiment,Acc_Exp,shelf,tank,tankID,exp_pCO2,pCO2,PopOrigin,length,width,pop,DrillDate,survival,survival_date,sample_index,tpnum_actual,sample_date,t_start,t_shuck,t_end,g_index,g_collect,g_20,m_tissue,dm_tissue,g_tissue,p_fluid,wet_wgt,tin_wgt,dry_wgt,wet_wgtcorr,dry_wgtcorr,bag_wgt,totalshell_wgt,shell_wgt,dry_end_meas,Hard_Nell_Index,Hard_Nell_Size_Correction,ShellWt_ShellSizeCor,Simple_ConditionIndex,Repair_Shell_Quality,notes
17018,exposure,Acclimation,1,3,3,400,400,Ipswich,3.078,2.058,Ipswich,20170427,Y,20170509,3,1,20170509,NA,12:30,NA,0,N,NA,Y,Y,Y,Y,3.36,1.29,0.54,2.07,-0.75,11.38,39.72,28.34,28.34,-12.78471562,-4.153578823,4.47389575,-29.79917704,0,
17019,exposure,Exposure,4,3,12,2800,2800,Rowley1-RR,3.974,2.059,Rowley,20170427,Y,20170822,155,9,20170822,11:00,11:03,11:07,0,N,N,Y,Y,Y,Y,7.09,1.29,1.997,5.8,0.707,NA,NA,NA,44.99,2.709414353,0.6817851919,5.498342431,24.71595006,1,Maybe dead/dying
17020,exposure,Exposure,3,3,9,900,900,Ipswich,3.755,2.099,Ipswich,20170427,Y,20170605,62,4,20170605,14:38,14:43,14:48,0,Y,NA,Y,Y,Y,Y,8.79,1.29,2.19,7.5,0.9,11.51,69.8,58.29,58.29,2.058672156,0.5482482441,7.395570397,32.05762316,1,Hole punched in tissue by syringe
17021,calcein,Calcein,2,2,5,400,400,Rowley2-Sawyers,5.776,1.715,Rowley2,20170427,Y,20170915,181,11,20170915,11:02,11:04,11:08,0,N,N,Y,Y,Y,N,5.15,1.3,NA,NA,NA,NA,NA,NA,37.533,#VALUE!,#VALUE!,3.788977008,#VALUE!,1,
17022,exposure,Exposure,4,3,12,2800,2800,Rowley1-RR,3.095,2.497,Rowley,20170427,Y,20170626,119,7,20170626,11:24,11:32,11:38,0,Y,NA,Y,Y,Y,Y,6.11,1.28,2.31,4.83,1.03,NA,NA,NA,52.629,4.05195838,1.309194953,6.809981348,37.05080317,3,
17023,exposure,Exposure,4,2,11,2800,2800,Ipswich,3.696,2.131,Ipswich,20170427,Y,20170605,72,4,20170605,13:15,13:21,13:25,0,N,NA,Y,Y,Y,Y,8.56,1.3,2.28,7.26,0.98,11.49,75.88,64.39,64.39,2.096384934,0.5672037159,8.175287094,34.91952838,0,
17024,exposure,Acclimation,1,2,2,400,400,Rowley2-Sawyers,3.052,1.726,Rowley2,20170427,Y,20170602,38,3,20170602,14:42,14:44,14:48,0,N,NA,Y,Y,Y,Y,5.29,1.3,1.83,3.99,0.53,11.42,41.48,30.06,30.06,4.41889821,1.447869663,5.706418981,23.09208829,4,
17025,exposure,Acclimation,4,1,10,2800,400,Rowley1-RR,3.199,2.193,Rowley,20170427,Y,20170517,28,2,20170517,14:52,15:07,15:10,0,N,NA,Y,Y,Y,N,7.56,1.31,2.23,6.25,0.92,11.4,49.96,38.56,38.56,3.817427386,1.19331897,5.49647369,34.73452718,3,
17026,exposure,Exposure,6,1,16,2800,2800,Ipswich,3.971,2.663,Ipswich,20170427,Y,20170606,88,5,20170606,10:42,10:48,10:53,0,N,NA,Y,Y,Y,Y,7.58,1.28,2.1,6.3,0.82,11.47,94.6,83.13,83.13,1.565725131,0.3942898845,7.861161653,25.21612366,4,"Damaged, possibly dying, deteriorating mantle"
17027,exposure,Exposure,3,2,8,900,900,Rowley2-Sawyers,3.352,1.465,Rowley2,20170427,Y,20170822,151,9,20170822,11:15,11:20,11:25,0,N,N,Y,Y,Y,Y,2.85,1.29,1.441,1.56,0.151,NA,NA,NA,22.123,4.375304967,1.305281912,4.505078726,6.814062771,3,
17028,exposure,Exposure,1,3,3,400,400,Rowley1-RR,3.448,2.196,Rowley,20170427,Y,20170626,111,7,20170626,13:16,13:27,13:31,0,Y,NA,Y,Y,Y,Y,4.41,1.29,1.85,3.12,0.56,NA,NA,NA,46.276,3.878623465,1.124890796,6.111618256,20.35111604,1,Pallial fluid probably contaminated with gut fluid
17029,exposure,Exposure,5,1,13,900,900,Ipswich,3.175,2.009,Ipswich,20170427,Y,20170822,156,9,20170822,13:24,13:29,13:32,0,N,N,Y,Y,Y,Y,5.36,1.29,2.058,4.07,0.768,NA,NA,NA,51.566,3.659345086,1.152549633,8.084250793,30.40880732,1,
