Rank,ID,WaterSample_ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,survival,survival_date,sample_date,bw1_BW,bw1_date,bw1_date_alt,bw1_std_wt,bw1_temp,bw1_sal,bw2_BW,bw2_date,bw2_date_alt,bw2_std_wt,bw2_temp2,bw2_sal,bw3_BW,bw3_date,bw3_date_alt,bw3_std_wt,bw3_temp,bw3_sal,dry_end_meas,dry_measurer,bw1_bw2_std_corr,bw1_bw3_std_corr,bw2_BW_corr,bw3_BW_corr,"dry1_final
",dry2_final,dry3_final,bw1_bw2_dayRange,bw2_bw3_dayRange,bw1_bw2_diff,bw2_bw3_diff,bw1_bw2_daily,bw2_bw3_daily,bw1_bw2_daily_sizeCorr,bw2_bw3_daily_sizeCorr,"Calcification_daily_sizeCorr
","Calcification_daily_sizeCorr_percent
"
17,17209,9,3,3,900,2442.18,2466.7,908.54,2.07,7.59,Y,20170509,20170509,22.069,170504,05/04/17,2.76,13.00,32.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.13,Isabel,NA,NA,NA,NA,38.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,17221,11,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,Y,20170509,20170509,33.468,170506,05/06/17,2.80,13.00,32.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.08,Isabel,NA,NA,NA,NA,59.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,17003,11,4,2,2800,2601.68,2504.96,2527.05,1.02,7.22,Y,20170517,20170517,24.296,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.89,Isabel,NA,NA,NA,NA,42.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,17006,8,3,2,900,2449.19,2464.79,904.6,2.08,7.59,Y,20170517,20170517,23.424,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.56,Isabel,NA,NA,NA,NA,41.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,17017,1,1,1,400,2404.69,2506.24,576.45,2.97,7.83,Y,20170517,20170517,21.788,170506,05/06/17,2.80,13.00,32.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.97,Isabel,NA,NA,NA,NA,37.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,17025,10,4,1,2800,2587.92,2497.79,2378.18,1.08,7.23,Y,20170517,20170517,22.595,170506,05/06/17,2.80,13.00,32.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.56,Isabel,NA,NA,NA,NA,39.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,17034,13,5,1,900,2439.9,2459.91,936.56,2.02,7.62,Y,20170517,20170517,23.217,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.66,Isabel,NA,NA,NA,NA,40.650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,17037,2,1,2,400,2388.7,2486.18,535.06,3.1,7.84,Y,20170517,20170517,44.704,170504,05/04/17,2.76,13.00,32.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.49,Isabel,NA,NA,NA,NA,80.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25,17055,3,1,3,400,2377.12,2484.38,574.36,2.93,7.84,Y,20170517,20170517,49.974,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.88,Isabel,NA,NA,NA,NA,90.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
26,17059,4,2,1,400,2359.13,2470.99,545.47,2.98,7.83,Y,20170517,20170517,32.934,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.52,Isabel,NA,NA,NA,NA,58.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
27,17076,16,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,Y,20170517,20170517,34.814,170506,05/06/17,2.80,13.00,32.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.09,Isabel,NA,NA,NA,NA,62.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
28,17083,14,5,2,900,2441,2468.42,865.45,2.15,7.62,Y,20170517,20170517,46.465,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.92,Isabel,NA,NA,NA,NA,84.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29,17084,12,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,Y,20170517,20170517,31.960,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.71,Isabel,NA,NA,NA,NA,56.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
30,17107,18,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,Y,20170517,20170517,33.221,170504,05/04/17,2.79,12.90,32.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.79,Isabel,NA,NA,NA,NA,59.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
31,17121,9,3,3,900,2442.18,2466.7,908.54,2.07,7.59,Y,20170517,20170517,34.438,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.789,Louise,NA,NA,NA,NA,61.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
32,17124,15,5,3,900,2441.67,2467.77,890.65,2.12,7.62,Y,20170517,20170517,26.671,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.79,Isabel,NA,NA,NA,NA,47.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
33,17134,5,2,2,400,2329.53,2437.2,590.67,2.86,7.83,Y,20170517,20170517,21.584,170504,05/04/17,2.77,13.00,32.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.49,Isabel,NA,NA,NA,NA,37.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
